Sample	Counts
ERR589716	3059870
ERR589717	18676839
ERR589718	22295856
ERR589719	32272618
ERR589720	6087267
ERR589721	13944413
ERR589722	20034452
ERR589723	7262721
ERR589724	19247601
ERR589725	10214099
ERR589726	11316885
ERR589727	18111009
ERR589728	18031278
ERR589729	17684281
ERR589730	17229119
ERR589731	15943972
ERR589732	25776664
ERR589733	22384532
ERR589734	19071411
ERR589735	21838270
ERR589737	21973114
ERR589738	13305644
ERR589739	22065417
ERR589740	19171803
ERR589741	25282820
ERR589742	17773200
ERR589743	13680445
ERR589744	10571472
ERR589745	14641357
ERR589746	21146128
ERR589747	25861998
ERR589748	14430442
ERR589749	17592748
ERR589750	13411581
ERR589751	13050603
ERR589752	13459052
ERR589753	14425365
ERR589754	14108848
ERR589755	15236549
ERR589756	19801641
ERR589757	18428696
ERR589758	13345286
ERR589759	15200406
ERR589760	14187631
ERR589761	14902783
ERR589762	14727608
ERR589763	16412697
ERR589764	13292869
ERR589765	14874395
ERR589766	14029791
ERR589767	16760664
ERR589768	18215257
ERR589769	20056747
ERR589770	25583329
ERR589771	13926261
ERR589772	19286550
ERR589773	19063602
ERR589774	21788348
ERR589775	11741113
ERR589776	16921112
ERR589777	22544405
ERR589778	13923823
ERR589779	18890190
ERR589780	24388038
ERR589781	20697390
ERR589782	24475447
ERR589783	15245532
ERR589784	18347999
ERR589785	18661744
ERR589786	12956623
ERR589787	9116633
ERR589788	9181363
ERR589789	20389074
ERR589790	10941781
ERR589791	16004427
ERR589792	8322934
ERR589793	14182850
ERR589794	14554270
ERR589795	16782742
ERR589796	15405923
ERR589797	16444368
ERR589798	12185447
ERR589799	14873957
ERR589800	11678555
ERR589801	17449173
ERR589802	16006891
ERR589803	19151601
ERR589804	16153796
ERR589805	23047054
ERR589806	21681713
ERR589807	13778087
ERR589808	17402088
ERR589809	26548821
ERR589810	16182669
ERR589811	16683178
ERR589812	19542487
ERR589813	12113632
ERR589815	18938916
ERR589816	19169101
ERR589817	20706588
ERR589818	20224759
ERR589819	11641286
ERR589820	13713769
ERR589821	8671254
ERR589822	11380384
ERR589823	18344271
ERR589824	35921459
ERR589825	13758026
ERR589826	11757822
ERR589827	19755482
ERR589828	20756308
ERR589829	17234153
ERR589830	15989191
ERR589831	17733579
ERR589833	23853009
ERR589834	20759053
ERR589835	14970777
ERR589836	10018389
ERR589837	16947018
ERR589838	14207325
ERR589839	17929719
ERR589840	20050277
ERR589841	21461448
ERR589842	27196427
ERR589843	13715348
ERR589844	13639366
ERR589845	18159325
ERR589846	13559615
ERR589847	24412081
ERR589848	22856386
ERR589849	18992271
ERR589850	20038961
ERR589851	19350774
ERR589852	19795677
ERR589853	15449950
ERR589854	18815458
ERR589855	25435141
ERR589856	22367579
ERR589857	19691424
ERR589858	20873076
ERR589859	13987219
ERR589860	25396369
ERR589861	19360717
ERR589862	16889033
ERR589863	24765209
ERR589864	25880472
ERR589865	15032052
ERR589866	8348748
ERR589867	11246599
ERR589868	10106328
ERR589869	9408728
ERR589870	21164408
ERR589871	14200928
ERR589872	14097046
ERR589873	21593069
ERR589874	12314783
ERR589875	18947437
ERR695598	5088526
ERR695599	5725503
ERR695600	5468318
ERR695601	6226485
ERR695602	6370706
ERR695603	6374400
ERR695604	7635022
ERR695605	7633941
ERR695606	3290711
ERR695607	3303233
ERR695608	7202075
ERR695609	7256938
ERR695610	4915841
ERR695611	4891934
ERR695614	4483981
ERR695615	4450891
ERR695616	5331675
ERR695617	5312089
ERR695618	9317687
ERR695619	9401954
ERR695620	3457684
ERR695621	3458237
ERR695622	10316936
ERR695623	10427162
ERR695624	9666115
ERR695625	9627467
ERR695626	2134324
ERR695627	2153525
ERR695628	4197558
ERR695629	4238144
ERR695630	6424059
ERR695631	6456347
ERR695632	3794616
ERR695633	3824785
ERR695634	4749802
ERR695635	4799883
ERR695636	5893319
ERR695637	5915932
ERR011102	3015635
ERR011103	3324296
ERR011104	3374568
ERR011272	2948606
ERR537005	12326946
ERR537006	11840823
ERR537007	8364880
ERR537008	8044999
ERR537009	7256672
ERR537010	6962113
ERR537011	7582950
ERR537012	7304945
ERR866561	5938864
ERR866562	10186856
ERR866563	315349
ERR866564	2422350
ERR866565	2541702
ERR866566	1540213
ERR866567	6912293
ERR866568	3674938
ERR866569	4449516
ERR866571	2824856
ERR866572	3570784
ERR1744181	4811199
ERR1744182	13894685
ERR1744183	9122781
ERR1744184	8103384
ERR1744185	8454748
ERR1744186	3700192
ERR1744187	4779053
ERR1744188	7877750
ERR1744189	6554595
ERR1297638	3054818
ERR1297640	2782814
ERR1297642	4752026
ERR1297643	4661228
ERR1297646	2668933
ERR1297647	3848431
ERR1297654	5470603
ERR1297657	5480145
ERR1297658	4322607
ERR1297659	5031781
ERR1297660	2438618
ERR1297661	5060854
ERR1297663	2534468
ERR1297665	3258175
ERR1297667	3688958
ERR1297670	4849131
ERR1297671	6149783
ERR1297672	4527335
ERR1297674	4240137
ERR1297677	3212501
ERR1297678	3139083
ERR1297680	3089895
ERR1297685	3245663
ERR1297686	4470442
ERR1297687	4719893
ERR1297688	3002415
ERR1297689	2893832
ERR1297690	3580106
ERR1297691	3365992
ERR1297693	3969067
ERR1297694	3836361
ERR1297695	2650848
ERR1297696	4804184
ERR1297697	5757008
ERR1297698	3552718
ERR1297699	6005630
ERR1297700	5573017
ERR1297702	2801831
ERR1297703	4460922
ERR1297707	4480396
ERR1297708	2694024
ERR1297709	3767269
ERR1297710	3332296
ERR1297716	5062209
ERR1297718	3276485
ERR1297720	2405596
ERR1297722	2993439
ERR1297724	4007539
ERR1297725	4066979
ERR1297726	5795173
ERR1297727	2620440
ERR1297729	3692000
ERR1297732	3314098
ERR1297734	3931157
ERR1297736	2718981
ERR1297737	3225027
ERR1297738	4627244
ERR1297740	4525959
ERR1297742	3418919
ERR1297743	2813197
ERR1297744	4786800
ERR1297745	2667257
ERR1297747	3414417
ERR1297751	5818365
ERR1297752	2995474
ERR1297754	3163388
ERR1297755	3480998
ERR1297756	3809296
ERR1297765	4432183
ERR1297766	3464883
ERR1297767	5832870
ERR1297768	4369170
ERR1297769	3916540
ERR1297770	5679043
ERR1297771	3788436
ERR1297772	4668563
ERR1297773	2188391
ERR1297774	3334960
ERR1297777	3807935
ERR1297785	5560010
ERR1297786	3637889
ERR1297787	4433023
ERR1297789	3960555
ERR1297790	3697373
ERR1297792	5128182
ERR1297794	4234741
ERR1297796	3781757
ERR1297797	2562494
ERR1297798	6307812
ERR1297800	3668540
ERR1297801	3062158
ERR1297802	2553124
ERR1297803	3759315
ERR1297804	3183724
ERR1297805	5668084
ERR1297806	4599809
ERR1297807	2563544
ERR1297809	3901589
ERR1297810	5095603
ERR1297812	5608553
ERR1297813	2630971
ERR1297817	2329072
ERR1297818	4435097
ERR1297820	4888484
ERR1297821	3034578
ERR1297822	4003728
ERR1297823	3718585
ERR1297824	4706353
ERR1297827	2845002
ERR1297829	5831252
ERR1297831	2773503
ERR1297832	3525962
ERR1297834	2564384
ERR1297835	4482884
ERR1297836	2502984
ERR1297838	3498161
ERR1297839	2763221
ERR1297843	4318888
ERR1297844	3525717
ERR1297845	6806565
ERR1297846	3252868
ERR1297847	3628292
ERR1297850	3804658
ERR1297852	4542037
ERR1398068	13664149
ERR1398069	9029138
ERR1398070	9502642
ERR1398071	11859603
ERR1398072	14503405
ERR1398073	22888853
ERR1398074	8453571
ERR1398075	12605952
ERR1398076	8370984
ERR1398077	18240061
ERR1398078	10226307
ERR1398079	12666348
ERR1398080	10097947
ERR1398081	13374424
ERR1398082	17095155
ERR1398083	11357797
ERR1398084	12684591
ERR1398085	19575250
ERR1398086	12536072
ERR1398087	16854981
ERR1398088	16301228
ERR1398089	14336755
ERR1398090	15171692
ERR1398091	15127820
ERR1398092	18326824
ERR1398093	14473254
ERR1398094	17506388
ERR1398095	15780029
ERR1398096	15547509
ERR1398097	10862185
ERR1398098	16245201
ERR1398099	14115449
ERR1398100	8751486
ERR1398101	9380285
ERR1398102	15459810
ERR1398103	15674712
ERR1398104	14580094
ERR1398105	20774041
ERR1398106	18136730
ERR1398107	17765843
ERR1398108	14076537
ERR1398109	12420082
ERR1398110	10754194
ERR1398111	15381035
ERR1398112	15310949
ERR1398113	12447059
ERR1398114	15828748
ERR1398115	17465658
ERR1398116	15129016
ERR1398117	16510650
ERR1398118	13284227
ERR1398119	16527455
ERR1398120	16990881
ERR1398121	12681157
ERR1398122	18918166
ERR1398123	15011635
ERR1398124	17382163
ERR1398125	15548837
ERR1398126	14522977
ERR1398127	14363335
ERR1398128	15482648
ERR1398129	15005563
ERR1398130	9882129
ERR1398131	13739302
ERR1398132	11143549
ERR1398133	15518516
ERR1398134	14490196
ERR1398135	13592195
ERR1398136	19819988
ERR1398137	4460269
ERR1398138	8740760
ERR1398139	15076205
ERR1398140	21302621
ERR1398141	11794534
ERR1398142	16980449
ERR1398143	12172150
ERR1398144	14371939
ERR1398145	21821482
ERR1398146	16288802
ERR1398147	18666579
ERR1398148	10230347
ERR1398149	13760807
ERR1398150	20697382
ERR1398151	7272465
ERR1398152	16984987
ERR1398153	17403334
ERR1398154	15796902
ERR1398155	19736721
ERR1398156	15833717
ERR1398157	20383024
ERR1398158	16441914
ERR1398159	18166379
ERR1398160	7465991
ERR1398161	12789135
ERR1398162	21693469
ERR1398163	17003533
ERR1398164	15279375
ERR1398165	14379399
ERR1398166	14743310
ERR1398167	12525990
ERR1398168	15866241
ERR1398169	18532233
ERR1398170	14664975
ERR1398171	10215302
ERR1398172	9069861
ERR1398173	12737120
ERR1398174	10975291
ERR1398175	12414849
ERR1398176	9087594
ERR1398177	16464204
ERR1398178	9556851
ERR1398179	5979193
ERR1398180	8232104
ERR1398181	17507697
ERR1398182	13302516
ERR1398183	20137078
ERR1398184	12221726
ERR1398185	23476520
ERR1398186	9715940
ERR1398187	15880114
ERR1398188	20726957
ERR1398189	12458246
ERR1398190	13798351
ERR1398191	15617635
ERR1398192	8257714
ERR1398193	16455090
ERR1398194	15782646
ERR1398195	9571479
ERR1398196	16480145
ERR1398197	12448352
ERR1398198	12418729
